"Context","Variable","Estimate","StdError","CI_low","CI_high","p_value","Signif","R2_percent","row_id"
"Andean vs. Neotropical - Afrotropical","Average climate",0.0651782116144071,0.00211230724139861,0.0610381654970038,0.0693182577318279,1.76949916288528e-197,"***",80.9006784945913,17
"Andean vs. Neotropical - Afrotropical","Climate variability",0.00305800921135307,0.00167180687126316,-0.000218672045422049,0.00633469046814,0.0674127658385679,".",9.430370634268,18
"Andean vs. Neotropical - Afrotropical","Topographical heterogeneity",0.000220011585394086,0.00176669645961426,-0.00324264984705437,0.00368267301786392,0.900896638358457," ",0.562575816262567,19
"Andean vs. Neotropical - Afrotropical","Landmass discontinuity",0.0115703437506154,0.00104201940109443,0.00952802325327609,0.0136126642479564,1.95273750016464e-28,"***",9.10637505487819,20
"Neotropical","Average climate",0.0278361433714471,0.000521977837720357,0.0268130856084913,0.0288592011342824,0,"***",47.8969504434976,21
"Neotropical","Climate variability",0.0252316126970351,0.000515215774267377,0.0242218083350713,0.0262414170587935,0,"***",39.7485633909956,22
"Neotropical","Topographical heterogeneity",0.00966804592128136,0.000494414086950409,0.00869901211752071,0.0106370797252071,5.23998563804449e-85,"***",12.3544861655068,23
"Afrotropical","Average climate",0.0393487075782188,0.00101315662094033,0.0373629570905746,0.0413344580659804,0,"***",46.979025330314,24
"Afrotropical","Climate variability",0.0180530449804851,0.000738122305178003,0.0166063518461911,0.0194997381146524,2.47195252857171e-131,"***",18.9116806060759,25
"Afrotropical","Topographical heterogeneity",0.0352112151437506,0.001012619346061,0.0332265176953638,0.0371959125920851,8.85517507572095e-262,"***",34.1092940636102,26
"Neotropical vs. Afrotropical ","Average climate",0.0154595906050173,0.000390056358556048,0.0146950941903063,0.0162240870194973,0,"***",67.2916098775691,27
"Neotropical vs. Afrotropical ","Climate variability",-0.00883150404815647,0.000349546674640804,-0.00951660294129014,-0.00814640515502178,1.5095431383922e-140,"***",19.8241824315331,28
"Neotropical vs. Afrotropical ","Topographical heterogeneity",0.00528082083469488,0.000416572769007162,0.00446435321061436,0.00609728845900872,8.30356823685913e-37,"***",12.6839432082103,29
"Neotropical vs. Afrotropical ","Landmass discontinuity",-0.040818595391527,0.0192812550942191,-0.078609160954018,-0.00302802983209656,0.0342607101113874,"*",0.200264482687437,30
"Holartic","Average climate",0.0527324471938953,0.000330656878115028,0.0520843716202433,0.053380522767996,0,"***",61.235250822482,31
"Holartic","Climate variability",0.0307369606593542,0.00027310606132281,0.0302016826140376,0.0312722387044303,0,"***",37.6959110589061,32
"Holartic","Topographical heterogeneity",0.000933480138363409,0.000217656735776356,0.000506880773660177,0.00136007950247776,1.79699603187696e-05,"***",1.06883811861186,33
"Indo-Malaysian","Average climate",0.0164583617772538,0.000701937465237133,0.01508258962596,0.0178341339285453,6.02916221701289e-121,"***",20.9612839562111,34
"Indo-Malaysian","Climate variability",0.0319934895413847,0.000597674671965299,0.0308220687098851,0.0331649103729079,0,"***",66.0823019292195,35
"Indo-Malaysian","Topographical heterogeneity",-0.0272883949035183,0.000922523963021321,-0.0290965086459155,-0.0254802811612494,1.03351589873515e-190,"***",12.9564141145694,36
"Holartic vs. Indo-Malaysian","Average climate",0.0303077211747526,0.000322115742516948,0.0296763859208991,0.0309390564279484,0,"***",46.9227080177325,37
"Holartic vs. Indo-Malaysian","Climate variability",0.0085509872152724,0.000300259934027057,0.00796248855891767,0.00913948587223819,3.651295245651e-178,"***",13.6538631168228,38
"Holartic vs. Indo-Malaysian","Topographical heterogeneity",-0.0199889630414301,0.000213570847227627,-0.0204075542103188,-0.0195703718725075,0,"***",35.7156210165113,39
"Holartic vs. Indo-Malaysian","Landmass discontinuity",0.00550234737138586,0.000191142899196407,0.00512771417335162,0.00587698056972582,5.47631297529482e-182,"***",3.70780784893339,40
