"UID","Name","DOI","Citation","Rights","More Information","Data generalisations","Information withheld","Download limit","Number of Records in Download"
"dr30156","CSIC-Real Jardín Botánico-Colección de Plantas Vasculares (MA)","10.15468/mug7kr","CSIC-Real Jardín Botánico (2024). CSIC-Real Jardín Botánico-Colección de Plantas Vasculares (MA). Real Jardín Botánico (CSIC). Occurrence dataset https://doi.org/10.15468/mug7kr accessed via GBIF.org on 2025-02-14.","CC BY-NC","For more information: https://collections.ala.org.au/public/show/dr30156","","","","36"
"dr30030","University of Michigan Herbarium","10.15468/nl8bvi","UM Herbarium Data Group, IPT Admin L (2025). University of Michigan Herbarium. Version 1.67. University of Michigan Herbarium. Occurrence dataset https://doi.org/10.15468/nl8bvi accessed via GBIF.org on 2025-02-12.","CC BY-NC","For more information: https://collections.ala.org.au/public/show/dr30030","","","","147"
"dr30031","World Plant Specimen from the Herbaria in China","10.15468/ydqvcq","Yang L, Xu Z (2023). World Plant Specimen from the Herbaria in China. Chinese Academy of Sciences (CAS). Occurrence dataset https://doi.org/10.15468/ydqvcq accessed via GBIF.org on 2025-02-12.","CC BY-NC","For more information: https://collections.ala.org.au/public/show/dr30031","","","","12"
"dr745","Records of the Victorian Conservation Seedbank","10.15468/aumrki","Victorian Conservation Seedbank, a resource of the Royal Botanic Gardens Melbourne. Content from this website should be attributed as:
Royal Botanic Gardens Melbourne (<current year>) Victorian Conservation Seedbank (Accessed <date of access>)
","CC-BY","For more information: https://collections.ala.org.au/public/show/dr745","","","","30"
"dp47","Australian Seedbank Partnership","","Records provided by Australian Seedbank Partnership, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/dp47","","","","2691"
"dp46","NatureMap","","Records provided by NatureMap, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/dp46","","","","13305"
"co55","National Herbarium of Victoria","","Records provided by National Herbarium of Victoria, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/co55","","","","22276"
"co54","National Herbarium of New South Wales","","Records provided by National Herbarium of New South Wales, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/co54","","","","17368"
"dp42","Global Biodiversity Information Facility","","Records provided by Global Biodiversity Information Facility, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/dp42","","","","11929"
"dr30606","Academy of Natural Sciences of Drexel University","10.15468/s55f2k","Academy of Natural Sciences (2025). Academy of Natural Sciences of Drexel University. Occurrence dataset https://doi.org/10.15468/s55f2k accessed via GBIF.org on 2025-03-11.","CC BY-NC","For more information: https://collections.ala.org.au/public/show/dr30606","","","","51"
"co301","Wallace Herbarium","","Records provided by Wallace Herbarium, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/co301","","","","229"
"dr29613","RSA - California Botanic Garden Herbarium","10.15468/0yosx9","Rancho Santa Ana Botanic Garden (2025). RSA - California Botanic Garden Herbarium. Occurrence dataset https://doi.org/10.15468/0yosx9 accessed via GBIF.org on 2025-02-04.","CC BY-NC","For more information: https://collections.ala.org.au/public/show/dr29613","","","","325"
"dr29616","Tropicos MO Specimen Data","10.15468/hja69f","Teisher J, Stimmel H (2025). Tropicos MO Specimen Data. Missouri Botanical Garden. Occurrence dataset https://doi.org/10.15468/hja69f accessed via GBIF.org on 2025-02-04.","CC BY","For more information: https://collections.ala.org.au/public/show/dr29616","","","","375"
"in13","Queen Victoria Museum and Art Gallery","","Records provided by Queen Victoria Museum and Art Gallery, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/in13","","","","1"
"dr29615","The vascular plants collection (P) at the Herbarium of the Muséum national d'Histoire Naturelle (MNHN - Paris)","10.15468/nc6rxy","MNHN, Chagnoux S (2025). The vascular plants collection (P) at the Herbarium of the Muséum national d'Histoire Naturelle (MNHN - Paris). Version 69.397. MNHN - Museum national d'Histoire naturelle. Occurrence dataset https://doi.org/10.15468/nc6rxy accessed via GBIF.org on 2025-02-04.","CC BY","For more information: https://collections.ala.org.au/public/show/dr29615","","","","1159"
"in15","Queensland Museum","","Records provided by Queensland Museum, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/in15","","","","24"
"dr19940","Flora Connections","","Flora Connections: Western Sydney University (2023) Flora Connections dataset
","other","For more information: https://collections.ala.org.au/public/show/dr19940","","","","1"
"dr13282","The University of Melbourne Herbarium (MELU) AVH data","10.15468/2yyu7i","Records provided by The University of Melbourne Herbarium (MELU) AVH data, accessed through ALA website.","Creative Commons Attribution (International) (CC-BY 4.0 (Int)) This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.","For more information: https://collections.ala.org.au/public/show/dr13282","","","","546"
"in191","FieldData / Biological Data Recording System","","Records provided by FieldData / Biological Data Recording System, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/in191","","","","14"
"dr613","Girraween National Park","10.15468/flcvft","Photo by: Vanessa and Chris Ryan
CC BY-NC  http://www.rymich.com/girraween/","CC-BY-NC-Int","For more information: https://collections.ala.org.au/public/show/dr613","","","","20"
"dp5142","Shire of Kalamunda Biodiversity Inventory","","Records provided by Shire of Kalamunda Biodiversity Inventory, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/dp5142","","","","7"
"dr22517","INSDC Host Organism Sequences","10.15468/e97kmy","European Bioinformatics Institute (EMBL-EBI), GBIF Helpdesk (2024). INSDC Host Organism Sequences. Version 1.115. European Nucleotide Archive (EMBL-EBI). Occurrence dataset https://doi.org/10.15468/e97kmy accessed via GBIF.org on 2024-12-12.","CC BY","For more information: https://collections.ala.org.au/public/show/dr22517","","","","3"
"dr22514","Edinburgh (E) Herbarium Specimens","10.15468/ypoair","Royal Botanic Garden Edinburgh (2024). Edinburgh (E) Herbarium Specimens. Occurrence dataset https://doi.org/10.15468/ypoair accessed via GBIF.org on 2024-12-12.","Creative Commons Zero (CC0)","For more information: https://collections.ala.org.au/public/show/dr22514","","","","1045"
"dr22512","Pl@ntNet automatically identified occurrences","10.15468/mma2ec","AFFOUARD A, JOLY A, LOMBARDO J, CHAMP J, GOEAU H, CHOUET M, GRESSE H, BOTELLA C, BONNET P (2023). Pl@ntNet automatically identified occurrences. Version 1.8. Pl@ntNet. Occurrence dataset https://doi.org/10.15468/mma2ec accessed via GBIF.org on 2024-12-19.","CC BY","For more information: https://collections.ala.org.au/public/show/dr22512","","","","317"
"dr22510","Observation.org, Nature data from around the World","10.15468/5nilie","Observation.org (2024). Observation.org, Nature data from around the World. Occurrence dataset https://doi.org/10.15468/5nilie accessed via GBIF.org on 2024-12-19.","CC BY-NC","For more information: https://collections.ala.org.au/public/show/dr22510","","","","252"
"co218","Unitec Institute of Technology Herbarium","","Records provided by Unitec Institute of Technology Herbarium, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/co218","","","","1"
"co216","Herbarium of the Museum of New Zealand Te Papa Tongarewa","","Records provided by Herbarium of the Museum of New Zealand Te Papa Tongarewa, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/co216","","","","4632"
"co214","Allan Herbarium","","Records provided by Allan Herbarium, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/co214","","","","9256"
"in40","James Cook University","","Records provided by James Cook University, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/in40","","","","113"
"in42","Queensland Department of Environment and Science","","Records provided by Queensland Department of Environment and Science, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/in42","","","","9076"
"in41","Department for Environment and Water","","Records provided by Department for Environment and Water, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/in41","","","","15493"
"dr30014","Lund University Biological Museum - Botanical collection (LD)","10.15468/c4w4co","Wittzell H (2025). Lund University Biological Museum - Botanical collection (LD). Lund University Biological Museum. Occurrence dataset https://doi.org/10.15468/c4w4co accessed via GBIF.org on 2025-02-12.","CC BY-NC","For more information: https://collections.ala.org.au/public/show/dr30014","","","","8"
"dr30010","Harvard University Herbaria: All Records","10.15468/o3pvnh","Kennedy J (2025). Harvard University Herbaria: All Records. Harvard University Herbaria. Occurrence dataset https://doi.org/10.15468/o3pvnh accessed via GBIF.org on 2025-02-12.","CC BY","For more information: https://collections.ala.org.au/public/show/dr30010","","","","1343"
"in47","University of Wollongong","","Records provided by University of Wollongong, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/in47","","","","181"
"dr22528","Tropicos Specimens Non-MO","10.15468/rxbp4w","Teisher J, Stimmel H (2024). Tropicos Specimens Non-MO. Version 1.79. Missouri Botanical Garden. Occurrence dataset https://doi.org/10.15468/rxbp4w accessed via GBIF.org on 2024-12-19.","CC BY","For more information: https://collections.ala.org.au/public/show/dr22528","","","","20"
"dr22527","The New York Botanical Garden Herbarium (NY)","10.15468/6e8nje","Ramirez J, Watson K, Feder L, Gjieli E, Sessa E (2024). The New York Botanical Garden Herbarium (NY). Version 1.77. The New York Botanical Garden. Occurrence dataset https://doi.org/10.15468/6e8nje accessed via GBIF.org on 2024-12-19.","Creative Commons Zero (CC0)","For more information: https://collections.ala.org.au/public/show/dr22527","","","","262"
"co75","Western Australian Herbarium","","Records provided by Western Australian Herbarium, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/co75","","","","19726"
"dr22525","Royal Botanic Gardens, Kew - Herbarium Specimens","10.15468/ly60bx","Royal Botanic Gardens, Kew (2024). Royal Botanic Gardens, Kew - Herbarium Specimens. Occurrence dataset https://doi.org/10.15468/ly60bx accessed via GBIF.org on 2024-12-12.","CC BY","For more information: https://collections.ala.org.au/public/show/dr22525","","","","1390"
"dr22524","Phanerogamic Botanical Collections (S)","10.15468/yo3mmu","Lundberg J (2023). Phanerogamic Botanical Collections (S). Swedish Museum of Natural History. Occurrence dataset https://doi.org/10.15468/yo3mmu accessed via GBIF.org on 2024-12-19.","Creative Commons Zero (CC0)","For more information: https://collections.ala.org.au/public/show/dr22524","","","","115"
"co72","The Janet Cosh Herbarium","","Records provided by The Janet Cosh Herbarium, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/co72","","","","181"
"dr22520","Meise Botanic Garden Herbarium (BR)","10.15468/wrthhx","Meise Botanic Garden (2024). Meise Botanic Garden Herbarium (BR). Version 1.34. Meise Botanic Garden. Occurrence dataset https://doi.org/10.15468/wrthhx accessed via GBIF.org on 2024-12-12.","CC BY","For more information: https://collections.ala.org.au/public/show/dr22520","","","","258"
"co205","South Australian Seedbank","","Records provided by South Australian Seedbank, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/co205","","","","1"
"dr30948","Dame Ella Campbell Herbarium (MPN) AVH data","10.15468/hh4rjg","Records provided by Dame Ella Campbell Herbarium (MPN) AVH data, accessed through ALA website.","Creative Commons Attribution (International) (CC-BY 4.0 (Int))","For more information: https://collections.ala.org.au/public/show/dr30948","","","","93"
"dr27654","Allan Herbarium","","Records provided by Allan Herbarium, accessed through ALA website.","Creative Commons Attribution (International) (CC-BY 4.0 (Int))","For more information: https://collections.ala.org.au/public/show/dr27654","","","","9256"
"dr29830","Downing Herbarium (MQU) AVH data","10.15468/uqve5v","Records provided by Downing Herbarium (MQU) AVH data, accessed through ALA website.","Creative Commons Attribution (International) (CC-BY 4.0 (Int))","For more information: https://collections.ala.org.au/public/show/dr29830","","","","92"
"in33","Western Australia, Department of Biodiversity, Conservation and Attractions","","Records provided by Western Australia, Department of Biodiversity, Conservation and Attractions, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/in33","","","","19726"
"dr30941","Cambridge University Herbarium Australian collections","10.15468/wqesv2","Records provided by Cambridge University Herbarium Australian collections, accessed through ALA website.","Creative Commons Attribution (International) (CC-BY 4.0 (Int))","For more information: https://collections.ala.org.au/public/show/dr30941","","","","228"
"dr19123","NatureMapr","10.15468/uye32x","Records provided by NatureMapr, accessed through ALA website.","Creative Commons Attribution (Australia) (CC-BY 3.0 (Au)) Creative Commons Attribution 3.0 (Australia)","For more information: https://collections.ala.org.au/public/show/dr19123","","","","7"
"dr635","NatureShare","10.15468/4cqg2v","Records provided by NatureShare, accessed through ALA website.","CC-BY Images are CC-BY 2.5, Data is CC-BY-NC 3.0.","For more information: https://collections.ala.org.au/public/show/dr635","","","","1565"
"co196","Australian National Botanic Gardens Seed Bank","","Records provided by Australian National Botanic Gardens Seed Bank, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/co196","","","","56"
"co194","WA Seed Technology Centre","","Records provided by WA Seed Technology Centre, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/co194","","","","18"
"dp5002","Plants Of The Green Line - Woolsthorpe Section","","Records provided by Plants Of The Green Line - Woolsthorpe Section, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/dp5002","","","","2"
"in70","La Trobe University","","Records provided by La Trobe University, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/in70","","","","75"
"in63","University of New South Wales","","Records provided by University of New South Wales, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/in63","","","","56"
"dr30637","Louisiana State University, Shirley C. Tucker Herbarium - Vascular Plants","10.15468/xxoo68","Louisiana State University Herbarium (2025). Louisiana State University, Shirley C. Tucker Herbarium - Vascular Plants. Occurrence dataset https://doi.org/10.15468/xxoo68 accessed via GBIF.org on 2025-03-11.","Creative Commons Zero (CC0)","For more information: https://collections.ala.org.au/public/show/dr30637","","","","13"
"in65","University of New England","","Records provided by University of New England, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/in65","","","","1939"
"in67","Australian Tropical Herbarium","","Records provided by Australian Tropical Herbarium, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/in67","","","","4793"
"dr703","Images of Flora and Fauna of 290 Leppitt Rd, Upper Beaconsfield","10.15468/qscvrr","Laura Levens","CC-BY","For more information: https://collections.ala.org.au/public/show/dr703","","","","69"
"dr948","Lake Muir Wetlands","10.15468/izcygl","Gibson N, Keighery GJ, Lane JAK (2004). Five years monitoring of the Lake Muir-Unicup wetland system, south western Australia. Journal of the Royal Society of Western Australia 87, pp. 29-33","Creative Commons Attribution (International) (CC-BY 4.0 (Int)) Conditions of Access All users need to acknowledge and agree to the following conditions before using NatureMap content: Data within NatureMap is provided with the participation and good will of data custodians and I will endeavour, where possible, to seek a collaborative approach with custodians in any research or papers published using NatureMap data. Re-sale of raw data or the commercial use of images or descriptive text (other than generated maps, species lists and reports) on this site is unauthorised unless written permission is obtained from the Department of Environment and Conservation (DEC). Appropriate and full acknowledgement of DEC and species data custodians (see Data Directory) must always be given in any publication that includes data sourced here. Data provided through NatureMap represents positive records of flora and fauna occurrence. The absence of a record should not be taken to mean flora or fauna is necessarily absent from an area. (To minimise the effect of data gaps, a buffer area should be applied that is reflective of the likelihood of surveys or collections having been undertaken in the target area.) My username and password will not be passed on to any other person or organisation. DEC and data custodians reserve the right to revoke registration if the above conditions of access are not complied with. I will notify DEC if any relevant conditions change that might affect my NatureMap authorisation level. Also note: Custodians have kindly granted permission to allow relatively large subsets of data to be downloaded for a wide range of uses, including within a commercial context. Note, however, it is not NatureMap policy to allow the downloading of entire datasets It is current custodian policy to only grant Advanced Access (see the Registration page) for bona fide research or conservation planning purposes. This does not extend to use within a commercial context. While this may appear restrictive, in fact basic registration provides a great deal of information on both conservation and non-conservation taxa, and all users are encouraged to explore NatureMap's sophisticated querying and mapping capabilities. DEC's Species and Communities Branch continues to provide information on detailed localities of conservation taxa to consultants and other commercial users on a fee-for-service basis. Fair Use Guidlines As stated above, we want as many people as possible to make use of the data available within NatureMap, so long as that use is ""fair"". It is considered fair for anyone to use information from NatureMap for conservation or planning purposes, including incorporating that information into reports or papers, or summarising and value-adding to data. It is not considered fair use to download raw data and on-sell it. That would contravene copyright. It is also bad business, because anyone could obtain the same data directly from NatureMap. Of particular note: Maps, species lists, reports and raw data may be freely used by anyone, including commercial consultants, for research, planning, generating reports and compilations, or for personal use, so long as the above conditions of access are complied with. Raw data, i.e. bulk detail records of individual locations that have been downloaded from NatureMap and not summarised, compiled or modified in any substantial way, may not be on-sold or rebadged without written permission from the Department of Environment and Conservation (DEC). This is consistent with Australian Copyright law. Other descriptive text and images, such as Thematic content on wetlands or ecological attributes, remain the property of NatureMap and copyright holders and may not be used without written permission from DEC. For full terms of use see Copyright page at http://naturemap.dec.wa.gov.au/default.aspx","For more information: https://collections.ala.org.au/public/show/dr948","","","","16"
"dr705","Flora of Westgate Park - Photos from Lyn Allison","10.15468/dul9fo","Lyn Allison and the Friends of Westgate Park","CC-BY","For more information: https://collections.ala.org.au/public/show/dr705","","","","1"
"dr700","Richard Hartland - Photographs of Flora and Fungi","10.15468/sgd1kc","Richard Hartland ","CC-BY","For more information: https://collections.ala.org.au/public/show/dr700","","","","49"
"dr820","Records of the Australian National Botanic Gardens Seedbank","10.15468/kinrrl","Australian National Botanic Gardens Seed Bank","CC-BY","For more information: https://collections.ala.org.au/public/show/dr820","","","","20"
"co186","PlantBank","","Records provided by PlantBank, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/co186","","","","92"
"dr30409","G. S. Torrey Herbarium at the University of Connecticut (CONN)","10.15468/w35jmd","http://bgbaseserver.eeb.uconn.edu/","CC BY-NC","For more information: https://collections.ala.org.au/public/show/dr30409","","","","1"
"in50","The Royal Botanic Gardens & Domain Trust","","Records provided by The Royal Botanic Gardens & Domain Trust, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/in50","","","","17460"
"dr376","National Herbarium of Victoria (MEL) AVH data","10.15468/rhzrxw","Records provided by National Herbarium of Victoria (MEL) AVH data, accessed through ALA website.","Creative Commons Attribution (International) (CC-BY 4.0 (Int)) This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.","For more information: https://collections.ala.org.au/public/show/dr376","","","","22276"
"dr935","Darling Scarp Survey","10.15468/tzlhzt","Scarp Survey. NatureMap: Mapping Western Australia's Biodiversity. Department of Environment and Conservation. URL: http://naturemap.dec.wa.gov.au/","Creative Commons Attribution (International) (CC-BY 4.0 (Int)) Conditions of Access

All users need to acknowledge and agree to the following conditions before using NatureMap content:

Data within NatureMap is provided with the participation and good will of data custodians and I will endeavour, where possible, to seek a collaborative approach with custodians in any research or papers published using NatureMap data.

Re-sale of raw data or the commercial use of images or descriptive text (other than generated maps, species lists and reports) on this site is unauthorised unless written permission is obtained from the Department of Environment and Conservation (DEC).

Appropriate and full acknowledgement of DEC and species data custodians (see Data Directory) must always be given in any publication that includes data sourced here.

Data provided through NatureMap represents positive records of flora and fauna occurrence. The absence of a record should not be taken to mean flora or fauna is necessarily absent from an area. (To minimise the effect of data gaps, a buffer area should be applied that is reflective of the likelihood of surveys or collections having been undertaken in the target area.)

My username and password will not be passed on to any other person or organisation.

DEC and data custodians reserve the right to revoke registration if the above conditions of access are not complied with.

I will notify DEC if any relevant conditions change that might affect my NatureMap authorisation level.

Also note:

Custodians have kindly granted permission to allow relatively large subsets of data to be downloaded for a wide range of uses, including within a commercial context. Note, however, it is not NatureMap policy to allow the downloading of entire datasets

It is current custodian policy to only grant Advanced Access (see the Registration page) for bona fide research or conservation planning purposes. This does not extend to use within a commercial context. While this may appear restrictive, in fact basic registration provides a great deal of information on both conservation and non-conservation taxa, and all users are encouraged to explore NatureMap's sophisticated querying and mapping capabilities. DEC's Species and Communities Branch continues to provide information on detailed localities of conservation taxa to consultants and other commercial users on a fee-for-service basis.

Fair Use Guidlines

As stated above, we want as many people as possible to make use of the data available within NatureMap, so long as that use is ""fair"". It is considered fair for anyone to use information from NatureMap for conservation or planning purposes, including incorporating that information into reports or papers, or summarising and value-adding to data.

It is not considered fair use to download raw data and on-sell it. That would contravene copyright. It is also bad business, because anyone could obtain the same data directly from NatureMap.

Of particular note:

Maps, species lists, reports and raw data may be freely used by anyone, including commercial consultants, for research, planning, generating reports and compilations, or for personal use, so long as the above conditions of access are complied with.

Raw data, i.e. bulk detail records of individual locations that have been downloaded from NatureMap and not summarised, compiled or modified in any substantial way, may not be on-sold or rebadged without written permission from the Department of Environment and Conservation (DEC). This is consistent with Australian Copyright law.

Other descriptive text and images, such as Thematic content on wetlands or ecological attributes, remain the property of NatureMap and copyright holders and may not be used without written permission from DEC.

For full terms of use see Copyright page at

http://naturemap.dec.wa.gov.au/default.aspx","For more information: https://collections.ala.org.au/public/show/dr935","","","","144"
"in58","WA Botanic Gardens and Parks Authority","","Records provided by WA Botanic Gardens and Parks Authority, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/in58","","","","284"
"co193","Victorian Conservation Seed Bank","","Records provided by Victorian Conservation Seed Bank, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/co193","","","","29"
"dr1902","Earth Guardians Weekly Feed","10.15468/slqqt8","Records provided by Earth Guardians Weekly Feed, accessed through ALA website.","Creative Commons Attribution-Noncommercial (International) (CC-BY-NC 4.0 (Int))","For more information: https://collections.ala.org.au/public/show/dr1902","","","","2849"
"dr933","Carnarvon Basin wetland survey","10.15468/nbnmbq","Carnarvon Basin wetland survey. NatureMap: Mapping Western Australia's Biodiversity. Department of Environment and Conservation. URL: http://naturemap.dec.wa.gov.au/","Creative Commons Attribution (International) (CC-BY 4.0 (Int)) Conditions of Access

All users need to acknowledge and agree to the following conditions before using NatureMap content:

Data within NatureMap is provided with the participation and good will of data custodians and I will endeavour, where possible, to seek a collaborative approach with custodians in any research or papers published using NatureMap data.

Re-sale of raw data or the commercial use of images or descriptive text (other than generated maps, species lists and reports) on this site is unauthorised unless written permission is obtained from the Department of Environment and Conservation (DEC).

Appropriate and full acknowledgement of DEC and species data custodians (see Data Directory) must always be given in any publication that includes data sourced here.

Data provided through NatureMap represents positive records of flora and fauna occurrence. The absence of a record should not be taken to mean flora or fauna is necessarily absent from an area. (To minimise the effect of data gaps, a buffer area should be applied that is reflective of the likelihood of surveys or collections having been undertaken in the target area.)

My username and password will not be passed on to any other person or organisation.

DEC and data custodians reserve the right to revoke registration if the above conditions of access are not complied with.

I will notify DEC if any relevant conditions change that might affect my NatureMap authorisation level.

Also note:

Custodians have kindly granted permission to allow relatively large subsets of data to be downloaded for a wide range of uses, including within a commercial context. Note, however, it is not NatureMap policy to allow the downloading of entire datasets

It is current custodian policy to only grant Advanced Access (see the Registration page) for bona fide research or conservation planning purposes. This does not extend to use within a commercial context. While this may appear restrictive, in fact basic registration provides a great deal of information on both conservation and non-conservation taxa, and all users are encouraged to explore NatureMap's sophisticated querying and mapping capabilities. DEC's Species and Communities Branch continues to provide information on detailed localities of conservation taxa to consultants and other commercial users on a fee-for-service basis.

Fair Use Guidlines

As stated above, we want as many people as possible to make use of the data available within NatureMap, so long as that use is ""fair"". It is considered fair for anyone to use information from NatureMap for conservation or planning purposes, including incorporating that information into reports or papers, or summarising and value-adding to data.

It is not considered fair use to download raw data and on-sell it. That would contravene copyright. It is also bad business, because anyone could obtain the same data directly from NatureMap.

Of particular note:

Maps, species lists, reports and raw data may be freely used by anyone, including commercial consultants, for research, planning, generating reports and compilations, or for personal use, so long as the above conditions of access are complied with.

Raw data, i.e. bulk detail records of individual locations that have been downloaded from NatureMap and not summarised, compiled or modified in any substantial way, may not be on-sold or rebadged without written permission from the Department of Environment and Conservation (DEC). This is consistent with Australian Copyright law.

Other descriptive text and images, such as Thematic content on wetlands or ecological attributes, remain the property of NatureMap and copyright holders and may not be used without written permission from DEC.

For full terms of use see Copyright page at

http://naturemap.dec.wa.gov.au/default.aspx","For more information: https://collections.ala.org.au/public/show/dr933","","","","1"
